Project, OldVersion, NewVersion
apache_directory-fortress-core,6c4e2b5b495c68469f3a651bc4be52f675af0f55,1c9b4722313591749de3eb4e1053f0eaf8ce92d0
tomp2p_TomP2P,8d71b2ba9ee36c688aa5aea160f3c75fb72d4d53,463302842f4cf313295997df472cec26a7363f90
apache_cxf-dosgi,ca3a6ef16a191e7aaef5c6412b9d64fd964a55bd,468d331ed4662124897e948e7e5085199b286e19
square_okio,3e25d85bc4ad3c6f1622b0438b3976804958fbfb,207a49e9c29eb892ac387b5898c0b8441a3dde8b
NLPchina_nlp-lang,3bb5e2e67ecf3704b59f0cbbb840a24e1d4da34e,ef941f3cb3a8ff6c02a5bcf513ce0ec6bd256e2e
apache_jackrabbit-oak,c983a481e77e646a42c8270f7d8bc06522ce59a0,7441a3d5153385f0388b606fe03bb0d7b6618fb1
docker-java_docker-java,a28cabb62ecf4dd1271eac92e26e83cd87f152ac,0a1b34c3b2a201f82a16821e1f3f6ca0337854ca
brianfrankcooper_YCSB,7dbf032018d93384aa4998b980c2f9637531c4c0,02316063ec7869d9eb98b0aef15ce654a6340d9f
haraldk_TwelveMonkeys,c97ebae303f61547d042705a1bca2d5a655ef264,a4a314a0f954fd08acea8df55e3e9ff27eade1e3
nuvolabase_orientdb,aa0e3d1f5cebc38408dc0213fe04d851c607996a,5d4ff9438db9eacd18c2502615747648602b49ed
im-qq_webqq-core,376dcfd5972b7185c9ea81625b9a58829939aa59,70428177c50d056046926bbac5206bbe8627937e
square_spoon,554beb8dbcb217ad71a288d7f3e509bdbfa0f6e9,dd5915e84ca3b8860bbfba71c5e6e99ed242f17b
dankurka_mgwt,f4a50c875c7ad361bcd48e572bd95f21b784bdaf,24a999f270a8b1c396f27980f1ea65835c0e6241
SpringSource_spring-hateoas,3b30c7832ea77a574287336f711382f915a3917d,01084c5fbd11556e5367ed1e3b032afbeb9a52cd
orientechnologies_orientdb,aa0e3d1f5cebc38408dc0213fe04d851c607996a,5d4ff9438db9eacd18c2502615747648602b49ed
apache_commons-collections,8b328d838ebc3d378c42f7e5d2100ae99ffc789b,ec9b71b95d74f1c8a977bcaaed9cbeec8581a60a
apache_oodt,9e70fe1cfcdfba9d595b804a8953a6eb5558ec42,f09e721cbafbca51cbc05618be79c3eec8656cd1
ronmamo_reflections,f4141a062c2b32ea0fc6930c48bab84eb01c1105,a31a6099cd401e0fb518714bdd04a619d1d09f97
myui_hivemall,9f7f0c81fb38801152c9738c72413113619b924a,9063bb813ae5b5520c04cdcfee85e81bc4475b19
apache_olingo-odata2,61d9db317073532de65d25654a5825ff92266a11,597465569fdd15976d0486711d4a38f93a7c6696
apache_syncope,790704c08790f8a2536af84ed46290f1596851f0,d067c2c31fb9e5a577c7d4d01fa75de51e0a5b3d
apache_helix,a29ac9fb35365d1fe8cf12ef95c58643a5fea36b,f011ea3ee6e9f3477b93795b23ef545476ae1601
b3log_b3log-solo,d459cfa2de8294c19023191cc7f15c5ebfed0b3f,a7cf8ccf443f0bd932df594337d9b79c7d398fc6
openmicroscopy_bioformats,741cee93eb441a631c45500befb6fc60d9d47a33,389aa43ef831f629fb6ad332ffba9ec5b13d3cba
apache_odftoolkit,38acdb2cd99b4aefdbb1597bb6a310add87172ba,a4cb7b1063539ee8bed015a39f13a035e4c4a3f2
uudashr_jsmpp,de7ad3b9cb88be51098f62c89e116e90cf09edf7,7791dab0b84e5c3051f62a21431d154a68e2ebaa
apache_commons-codec,8e687dfecd5c112b36c5607e9c59ba9571a60452,423a010fa92d89ee1d82fb21f2f6e65c76dab755
jclouds_jclouds,97c160879ebabb30044e08c08333560c15ad7db4,28ed955183f7072d96bb68888dbf22ac036556b6
fernandezpablo85_scribe-java,a7235c84f4c09a5952aa382944897533b20f3ce6,832ebd3e351edc3b07e55f3a347e3018b18448f7
apache_phoenix,08fc27d4c352f41f4999c8aa8bce953b3f4092cb,b2e3018c8799f326f453983f66eaf6c4291acd0f
tony19_logback-android,94d03ad501a949682db34a8115008d6dbd8618ae,c0aee6fe5e77e235b3098e14acce941658b15342
jenkinsci_email-ext-plugin,15a16450ee6c1946db43fb9b22e8ef9c19c74773,b7bd1b3f127cc364287c99f780ab5d198d9725ef
